uid,max_distance_from_home,maximum_distance,max_tot,wait,distance_straight_line,sld_avg,radius_of_gyration,norm_uncorrelated_entropy,number_of_visits,nv_avg,number_of_locations,nlr,raw_home_freq,raw_work_freq,raw_least_freq,home_freq_avg,work_freq_avg,hf_tot_df,wf_tot_df,n_user_home,n_user_work,n_user_home_avg,n_user_work_avg,home_entropy,work_entropy,class
13570,10.892279896694296,10.892279896694296,0.3314218625311944,0.0,30.975056053793466,1.0325018684597822,4.091565864084812,0.884514765676856,13,0.43333333333333335,8,0.00353045013239188,5,2,1,0.5,0.06666666666666667,0.004297994269340974,0.0004830917874396135,92,242,0.0025430586059415096,0.011790544445728817,5.2398766916275745,6.124290351955108,5
13867,0.5388175446659629,0.5388175446659629,0.016394723227032986,0.0,0.5388175446659629,0.017960584822198762,0.26940877239067595,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.13333333333333333,0.03333333333333333,0.011461318051575931,0.0004830917874396135,81,18,0.0002311871459946827,0.011790544445728817,4.977589964259296,3.094939683756083,4
13908,0.39060531916354785,0.39060531916354785,0.01188503633945939,0.0,0.39060531916354785,0.013020177305451595,0.1841331133208612,0.9182958340544894,3,0.1,2,0.00088261253309797,2,1,1,0.16666666666666666,0.03333333333333333,0.03581661891117478,0.000966183574879227,166,43,0.011790544445728817,0.011790544445728817,6.106065601502862,3.9423264651671577,3
14235,0.6624764503912923,0.6624764503912923,0.020157320703663762,0.0,9.253295131921888,0.30844317106406294,0.24351757145450217,0.4449891102746056,46,1.5333333333333334,3,0.001323918799646955,39,6,1,0.03333333333333333,0.2,0.0014326647564469914,0.0004830917874396135,81,102,0.011790544445728817,0.011790544445728817,4.977589964259296,5.314080897415826,3
14279,3.745859351238281,3.745859351238281,0.11397610920226663,0.0,3.745859351238281,0.12486197837460937,1.8729296760720315,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.06666666666666667,0.03333333333333333,0.01002865329512894,0.0024154589371980675,37,54,0.011790544445728817,0.011790544445728817,4.313520873417174,5.21228354678823,5
14888,5.0986825796884405,4.6914512144769205,0.1427478465686561,0.0,27.301225320412797,0.91004084401376,1.6261071622369494,1.0000000000000002,12,0.4,12,0.00529567519858782,1,1,1,1.3,0.03333333333333333,0.0028653295128939827,0.0004830917874396135,10,32,0.011790544445728817,0.011790544445728817,2.206041568717602,4.936286231168867,5
14938,6.568905783647993,7.001026646098885,0.2130218202880373,0.0,87.32188740419694,2.9107295801398982,2.681242842585935,0.6896125360150679,29,0.9666666666666667,9,0.003971756398940865,17,2,1,0.03333333333333333,0.06666666666666667,0.0028653295128939827,0.000966183574879227,24,18,0.011790544445728817,0.011790544445728817,3.753551335216307,2.9318471776961177,5
15575,14.742626741716318,14.742626741716318,0.4485772363253977,0.0,108.40087457408785,3.6133624858029285,5.999183368338496,0.88792947412232,13,0.43333333333333335,4,0.00176522506619594,6,3,1,0.03333333333333333,0.1,0.0028653295128939827,0.0004830917874396135,1536,313,0.011790544445728817,0.011790544445728817,9.979213062825618,7.588965346829547,5
33107,3.3263907567086117,3.3263907567086117,0.10121284345892514,0.0,67.0191549819816,2.23397183273272,1.1190094701926872,0.6031881487846723,61,2.033333333333333,4,0.00176522506619594,31,28,1,0.5666666666666667,0.9333333333333333,0.012893982808022923,0.0004830917874396135,71,27,0.011790544445728817,0.011790544445728817,5.02781774981208,3.6641099251590474,5
33218,23.757796187880665,23.757796187880665,0.7228838348722162,0.0,23.757796187880665,0.7919265395960221,11.878904027694901,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.2,0.03333333333333333,0.004297994269340974,0.0004830917874396135,43,1908,0.011790544445728817,0.011790544445728817,3.760776772118444,10.351985799085762,3
